
RENAULT,Professionnel,Artisan,6,5633,326,0
RENAULT,Prive,Salarie,4,62119,499,0
PEUGEOT,Trajets,Fonctionnaire,5,62119,1284,0
BMW,Trajets,Fonctionnaire,10,14118,835,0
CITROEN,Professionnel,Agriculteur,2,71522,1919,0
PEUGEOT,Prive,Autre,8,02722,1533,1
HONDA,Professionnel,Agriculteur,?,22101,1620,0
AUDI,Professionnel,Societe,11,13039,805,1
RENAULT,Prive,Autre,6,66056,1876,0
PEUGEOT,Professionnel,Profliberale,8,33063,982,1
PEUGEOT,Trajets,Artisan,9,35288,1692,0
FIAT,deplacements,Autre,4,62555,1287,0
RENAULT,Prive,Retraite,8,20004,819,1
PEUGEOT,Trajets,Salarie,8,74312,?,0
NISSAN,Professionnel,Societe,6,83072,1463,0
RENAULT,Trajets,Salarie,4,28229,1644,0
PEUGEOT,Prive,Salarie,6,95268,1959,0
RENAULT,Trajets,Salarie,6,14579,832,0
RENAULT,Professionnel,Artisan,4,77281,630,0
PEUGEOT,Trajets,Salarie,6,80628,661,0
LADA,Trajets,Salarie,6,59271,1234,0
RENAULT,Prive,Retraite,3,69202,1343,0
RENAULT,Professionnel,Artisan,7,69000,1349,1
CITROEN,Trajets,Salarie,4,30221,261,0
TOYOTA,Trajets,Salarie,11,74145,604,0
RENAULT,Trajets,Salarie,7,18052,167,0
PEUGEOT,Trajets,Salarie,5,23193,1809,1
RENAULT,Trajets,Salarie,7,77487,438,0
PEUGEOT,Professionnel,Agriculteur,8,13100,60,0
RENAULT,Trajets,Salarie,7,51003,1773,0
RENAULT,Trajets,Fonctionnaire,9,94017,14,1
PEUGEOT,Trajets,Salarie,7,59100,2050,0
RENAULT,Trajets,Salarie,7,01452,032,0
MERCEDESBENZ,Trajets,Artisan,9,62235,501,0
CITROEN,Prive,Salarie,8,60626,231,1
FORD,Professionnel,Fonctionnaire,9,44184,027,0
RENAULT,Trajets,Fonctionnaire,4,30341,945,0
PEUGEOT,Professionnel,Agriculteur,6,60239,1838,1
VOLKSWAGEN,Prive,Salarie,7,06069,067,0
RENAULT,Trajets,Salarie,7,13004,1565,0
RENAULT,Prive,Salarie,4,40065,359,0
RENAULT,Professionnel,Societe,6,42304,1075,0
CITROEN,Professionnel,Agriculteur,8,81146,1453,0
VOLVO,Professionnel,Agriculteur,11,21412,183,1
CITROEN,Trajets,Fonctionnaire,7,61293,1277,0
RENAULT,Professionnel,Societe,6,35012,1012,0
RENAULT,Professionnel,Artisan,3,56152,458,0
CITROEN,Trajets,Salarie,2,38563,1714,0
FORD,Prive,Fonctionnaire,5,31517,267,0
TALBOT,Prive,Salarie,7,53130,1783,0
VOLKSWAGEN,Trajets,Salarie,8,25442,898,0
CITROEN,Prive,Autre,3,79062,650,0
VOLKSWAGEN,Professionnel,Artisan,10,55348,1779,1
FORD,Trajets,Salarie,4,39487,351,1
RENAULT,Prive,Retraite,8,54205,433,0
RENAULT,Trajets,Salarie,6,57019,468,0
RENAULT,Prive,Fonctionnaire,5,44109,1013,0
FIAT,Trajets,Commerce,3,55543,1176,0
BMW,Professionnel,Salarie,11,59548,1817,1
FIAT,Trajets,Salarie,6,31555,957,0
CITROEN,Prive,Salarie,7,15187,1585,0
VOLKSWAGEN,Professionnel,Profliberale,10,45234,1746,1
PEUGEOT,Trajets,Salarie,6,16292,150,1
FORD,Professionnel,Fonctionnaire,6,13000,133,0
RENAULT,Professionnel,Salarie,9,54028,440,1
CITROEN,Prive,Autre,3,79062,650,0
PEUGEOT,Trajets,Salarie,3,33281,2033,0
RENAULT,Trajets,Fonctionnaire,10,25019,891,1
PEUGEOT,Trajets,Salarie,5,69000,1759,0
RENAULT,Trajets,Salarie,5,80275,1447,0
PEUGEOT,deplacements,Autre,6,52121,1777,1
RENAULT,Trajets,Salarie,9,16015,842,0
RENAULT,Prive,Salarie,5,21055,1610,0
HONDA,Prive,Retraite,8,46127,381,1
RENAULT,Prive,Retraite,5,93048,610,0
FORD,Prive,Salarie,7,74190,605,0
PEUGEOT,Professionnel,Agriculteur,7,02575,044,0
AUDI,Trajets,Artisan,11,42275,1070,1
BMW,Prive,Retraite,11,24210,208,1
PEUGEOT,Trajets,Salarie,6,62516,1863,0
TALBOT,Prive,Salarie,7,53130,1783,0
TALBOT,Professionnel,Agriculteur,3,51454,417,0
PEUGEOT,Prive,Autre,9,78126,2117,1
SEAT,Trajets,Salarie,6,57701,1198,1
VOLKSWAGEN,Trajets,Fonctionnaire,6,22379,1621,0
CITROEN,Trajets,Salarie,4,68151,557,0
CITROEN,Prive,Retraite,3,56260,1185,0
TOYOTA,Prive,Salarie,11,70451,671,0
CITROEN,Trajets,Fonctionnaire,9,22324,195,0
NISSAN,Trajets,Salarie,5,51649,1145,0
FORD,Trajets,Salarie,7,31555,276,0
TALBOT,Trajets,Salarie,7,57481,443,0
FORD,Trajets,Salarie,5,13119,2079,0
SEAT,Trajets,Fonctionnaire,8,60057,1256,0
PEUGEOT,Prive,Retraite,6,62268,1864,0
RENAULT,Trajets,Salarie,4,30189,1654,1
RENAULT,Trajets,Salarie,6,43188,1735,0
LADA,Trajets,Salarie,5,06069,065,0
MERCEDESBENZ,deplacements,Societe,8,59136,1211,1
PEUGEOT,?,Fonctionnaire,4,05058,814,0
TALBOT,Prive,Retraite,3,84087,1986,0
RENAULT,deplacements,Fonctionnaire,9,29019,934,1
RENAULT,Trajets,Salarie,9,63300,1881,0
PEUGEOT,Trajets,Salarie,5,69069,1347,0
MERCEDESBENZ,Trajets,Fonctionnaire,11,59043,1821,1
RENAULT,Trajets,Salarie,7,45155,375,0
RENAULT,Professionnel,Societe,9,13001,801,1
OPEL,Professionnel,Profliberale,6,26146,1633,0
RENAULT,Trajets,Fonctionnaire,4,67471,1334,0
PEUGEOT,Trajets,Salarie,6,40224,355,0
PEUGEOT,Professionnel,Salarie,7,87192,708,0
PEUGEOT,Trajets,Fonctionnaire,8,88413,1512,0
RENAULT,Trajets,Etudiant,4,14252,140,0
SEAT,Trajets,Salarie,6,57701,1198,1
RENAULT,Prive,Autre,5,62178,1870,0
RENAULT,Trajets,Salarie,5,51649,1776,0
FORD,Professionnel,Salarie,9,38416,334,1
RENAULT,Prive,Autre,10,78646,2086,1
PEUGEOT,Trajets,Fonctionnaire,4,40004,356,0
FIAT,Trajets,Salarie,5,31395,266,1
RENAULT,Trajets,Salarie,10,71566,1914,1
RENAULT,Professionnel,Salarie,3,89304,1516,0
FORD,deplacements,Artisan,9,06088,773,0
RENAULT,Prive,Salarie,3,37001,1704,0
ALFAROMEO,Professionnel,Agriculteur,9,47210,394,1
FORD,Prive,Retraite,5,23096,196,0
VOLKSWAGEN,Trajets,Salarie,5,93001,2046,0
ALFAROMEO,Trajets,Salarie,5,33119,995,0
RENAULT,Prive,Retraite,9,76351,1938,1
CITROEN,Professionnel,Agriculteur,2,24090,203,0
FORD,Trajets,Salarie,5,76212,1939,0
FORD,Trajets,Salarie,6,87150,709,1
RENAULT,deplacements,Fonctionnaire,9,29019,934,1
ROVER,Professionnel,Societe,11,68298,545,1
RENAULT,Professionnel,Commerce,3,20249,817,0
RENAULT,Prive,Autre,6,50129,1765,0
CITROEN,Professionnel,Artisan,10,10387,789,1
FORD,Professionnel,Artisan,6,94068,2149,0
PEUGEOT,Trajets,Salarie,8,59601,1213,0
PEUGEOT,Professionnel,Commerce,6,14371,1132,0
FORD,deplacements,Fonctionnaire,9,69275,2036,1
RENAULT,Trajets,Salarie,8,69069,1348,1
PEUGEOT,Professionnel,Artisan,9,88151,1501,1
RENAULT,Trajets,Salarie,9,47001,1103,0
CITROEN,Trajets,Fonctionnaire,5,02389,748,0
PEUGEOT,Trajets,Salarie,6,88075,1502,0
RENAULT,Professionnel,Agriculteur,2,85243,705,0
CITROEN,Professionnel,Agriculteur,2,47085,386,0
RENAULT,Prive,Fonctionnaire,8,44141,368,0
VOLKSWAGEN,Prive,Salarie,6,62259,047,0
AUTRES,Prive,Retraite,4,75000,608,0
MERCEDESBENZ,Prive,Retraite,11,33447,998,1
PEUGEOT,Prive,Autre,5,80552,1448,0
PEUGEOT,Trajets,Salarie,8,59246,1818,0
FORD,deplacements,Fonctionnaire,9,69275,2036,1
PEUGEOT,Prive,Autre,7,80131,1443,0
LADA,Prive,Fonctionnaire,6,17393,1592,0
PEUGEOT,Trajets,Fonctionnaire,6,33243,290,0
CITROEN,Trajets,Salarie,2,22224,1618,0
RENAULT,Trajets,Salarie,3,02361,750,0
AUTRES,Prive,Retraite,11,62604,1212,1
OPEL,Prive,Salarie,4,13000,822,0
CITROEN,Trajets,Fonctionnaire,7,25462,895,1
NISSAN,Prive,Fonctionnaire,10,62770,2053,1
RENAULT,Trajets,Salarie,6,54253,441,0
FORD,Prive,Salarie,3,69000,083,1
VOLKSWAGEN,Trajets,Fonctionnaire,5,62573,1252,0
RENAULT,Trajets,Salarie,6,13014,129,0
TOYOTA,Trajets,Salarie,11,75000,1383,0
RENAULT,Trajets,Fonctionnaire,5,64461,1893,0
BMW,Trajets,Fonctionnaire,9,81065,1970,1
PEUGEOT,Prive,Retraite,5,44132,1087,0
RENAULT,Trajets,Salarie,4,76681,1942,0
MERCEDESBENZ,deplacements,Autre,11,89087,1517,0
RENAULT,Trajets,Salarie,6,29019,927,0
CITROEN,Prive,Autre,2,07237,774,0
RENAULT,Trajets,Salarie,5,77404,1411,0
VOLKSWAGEN,Trajets,Salarie,6,51108,1143,1
VOLKSWAGEN,Trajets,Fonctionnaire,6,79093,1433,0
FORD,Trajets,Salarie,6,50031,1138,0
RENAULT,Trajets,Fonctionnaire,10,78165,588,1
PEUGEOT,Trajets,Fonctionnaire,7,50602,1133,0
OPEL,Trajets,Salarie,7,84126,1476,0
RENAULT,Professionnel,Agriculteur,5,47068,1750,0
PEUGEOT,Prive,Salarie,6,60531,1435,0
PEUGEOT,Trajets,Salarie,6,94071,2143,0
FIAT,Prive,Retraite,6,69204,1346,0
RENAULT,Trajets,Salarie,3,68149,567,0
RENAULT,Prive,Retraite,4,29220,1646,0
CITROEN,Prive,Retraite,7,42110,1068,0
CITROEN,Trajets,Salarie,7,60463,494,0
CITROEN,Prive,Retraite,5,16291,843,0
PEUGEOT,Professionnel,Profliberale,8,33063,982,1
RENAULT,deplacements,Societe,10,83126,2071,1
VOLKSWAGEN,Trajets,Salarie,10,01228,730,1
PEUGEOT,Professionnel,Artisan,8,13097,122,0
BMW,Prive,Salarie,11,75000,1379,1
AUTRES,Trajets,Salarie,6,60041,1839,0
RENAULT,Trajets,Salarie,9,44131,372,0
BMW,Professionnel,Salarie,11,87001,1499,1
RENAULT,Trajets,Salarie,6,60104,1258,1
CITROEN,Trajets,Fonctionnaire,5,02389,748,0
RENAULT,Professionnel,Artisan,4,42044,1071,0
HONDA,Trajets,Artisan,11,17221,859,1
BMW,Professionnel,Societe,11,92049,1037,1
MERCEDESBENZ,Prive,Fonctionnaire,8,24102,888,1
